,Date,,,From,,,To,,,Interval*,,,Size,,,Type,,,Style,,,Serial No.,,,Brand,,,Formation,
,,,(m),,,(m),,,(m),,,,,,,,,,,,,,,,,,,(Downhole,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Interval),
,6/12/2014,,,0.0,,,7.4,,,7.4,,,8½”,,,Tricone,,,TCI,,,710170/8,,,,,"Leederville Fm
(0‐135m)",,
,6/12/2014,,,0.0,,,7.4,,,7.4,,,14'',,,Blade,,,4 wing,,,24111978,,,,,,,
,7/12/2014,,,7.4,,,65.0,,,57.6,,,8½”,,,Tricone,,,TCI,,,710170/8,,,,,,,
,7/12/2014,,,7.4,,,65.0,,,57.6,,,12⅛”,,,Tricone,,,Milltooth,,,10925336,,,,,,,
,9/12/2014,,,65.0,,,206.5,,,141.5,,,8½”,,,Tricone,,,Milltooth,,,3210321,,,,,,,
,6/01/2015,,,206.5,,,207.7,,,1.2,,,4⅞'',,,Tricone,,,Milltooth,,,F209013,,,AMS,,"Eneabba Fm
(135‐419m)",,
,6/01/2015,,,207.7,,,208.4,,,0.7,,,PQ3 core,,,Impreg,,,HA9,,,31591/05,,,Hayden,,,,
,6/01/2015,,,208.4,,,210.8,,,2.4,,,PQ3 core,,,PCD,,,TSP,,,1A9015,,,Dimatec,,,,
,7/01/2015,,,210.8,,,214.7,,,3.9,,,PQ3 core,,,Impreg,,,8:10,,,133886,,,Hardcore,,,,
,7/01/2015,,,214.7,,,231.4,,,16.7,,,PQ3 core,,,PCD,,,TSP,,,1A9015,,,Dimatec,,,,
,7/01/2015,,,231.4,,,234.4,,,3.0,,,PQ3 core,,,PCD,,,,,,139152,,,Hardcore,,,,
,8/01/2015,,,234.4,,,246.1,,,11.7,,,PQ3 core,,,Surf Set,,,,,,HD0264/3,,,Hayden,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,8/01/2015,,,246.1,,,403.7,,,151.3,,,PQ3 core,,,Surf Set,,,15/25,,,101‐01,,,AMS,,,,
,12/01/2015,,,403.7,,,409.1,,,5.4,,,PQ3 core,,,PCD,,,TSP,,,1A9015,,,Dimatec,,,,
,13/01/2015,,,409.1,,,458.3,,,49.2,,,PQ3 core,,,Surf Set,,,,,,1132737,,,Asahi,,"Yalgorup Mbr
(419‐1245m)",,
,14/01/2015,,,458.3,,,489.6,,,31.3,,,PQ3 core,,,Surf Set,,,,,,1369173,,,Asahi,,,,
,15/01/2015,,,489.6,,,491.5,,,1.9,,,PQ3 core,,,PCD,,,,,,139154,,,Hardcore,,,,
,16/01/2015,,,491.5,,,548.4,,,57.7,,,PQ3 core,,,Surf Set,,,,,,HD0264.3,,,Hayden,,,,
,17/01/2015,,,548.4,,,600.4,,,52.0,,,PQ3 core,,,Surf Set,,,,,,1416107,,,Asahi,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,19/01/2015,,,600.4,,,663.1,,,62.7,,,PQ3 core,,,Surf Set,,,Carbarna,,,2B2463,,,HMI,,,,
,23/01/2015,,,663.1,,,678.1,,,15.0,,,PQ3 core,,,Surf Set,,,,,,1010962,,,Asahi,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,24/01/2015,,,678.1,,,919.1,,,241.0,,,PQ3 core,,,Surf Set,,,Carbarna,,,2B2462,,,HMI,,,,
,1/02/2015,,,919.1,,,971.9,,,52.8,,,PQ3 core,,,Surf Set,,,Carbarna,,,2B2463,,,HMI,,,,
,4/02/2015,,,971.9,,,1233.9,,,262.0,,,PQ3 core,,,Surf Set,,,Carbarna,,,2B2460,,,HMI,,,,
,12/02/2015,,,1233.9,,,1234.0,,,0.1,,,PQ3 core,,,Surf Set,,,Carbarna,,,2B2463,,,HMI,,,,
,16/02/2015,,,1234.0,,,1242.3,,,8.3,,,HQ core,,,Impreg,,,HA9,,,32104/03,,,Hayden,,,,
,17/02/2015,,,1242.3,,,1244.4,,,2.1,,,HQ3 core,,,Surf Set,,,,,,51313.2,,,SDS,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,17/02/2015,,,1244.4,,,1276.2,,,31.8,,,HQ3 core,,,Impreg,,,SC10.3,,,1094834,,,Craelius,,"Wonnerup Mbr
(1245‐1351.2m)",,
,19/02/2015,,,1276.2,,,1351.2,,,75.0,,,HQ3 core,,,Impreg,,,4:06,,,36847/1,,,Hayden,,,,
