Date,,Bit,,,Depth,,Viscosity,,Mud Weight,,,PV,YP,pH,Filtrate,Chlorides
,,Diam.,,,,,,SG,,PPG,,,,,,
,,(“),,,(m),,,,,,,,,,,
14‐Jan,PQ,,,412,,,44,1.1,,9.2,,13,4,9,7.2,64000
14‐Jan,PQ,,,429,,,40,1.1,,9.2,,9,2,9,6.8,53500
15‐Jan,PQ,,,458,,,42,1.1,,9.2,,10,2,9,6,50000
16‐Jan,PQ,,,489,,,42,1.11,,9.25,,12,2,9,6,65000
16‐Jan,PQ,,,490,,,42,1.11,,9.25,,12,1,9,7.2,54000
16‐Jan,PQ,,,495,,,42,1.12,,9.3,,,,9,5.4,65000
17‐Jan,PQ,,,522,,,43,1.12,,9.3,,11,3,9,5.6,59000
18‐Jan,PQ,,,545,,,43,1.12,,9.3,,19,5,9,5.2,58000
19‐Jan,PQ,,,582,,,43,1.12,,9.3,,23,7,9,4.2,54000
20‐Jan,PQ,,,606,,,43,1.11,,9.25,,21,2,9,4.6,54000
22‐Jan,PQ,,,626,,,42,1.1,,9.2,,21,7,9,7.8,58000
23‐Jan,PQ,,,680,,,43,1.1,,9.2,,17,7,9,6.8,66000
24‐Jan,PQ,,,664,,,44,1.11,,9.25,,18,6,9,7,54000
25‐Jan,PQ,,,676,,,43,1.11,,9.2,,21,8,9,5.8,64000
26‐Jan,PQ,,,700,,,45,1.14,,9.5,,22,8,9,6,54000
29‐Jan,PQ,,,815,,,43,1.13,,9.4,,17,5,9,5.2,51000
2‐Feb,PQ,,,919,,,43,1.13,,9.4,,17,4,9,5.6,45000
4‐Feb,PQ,,,,,,43,1.15,,9.6,,21,4,9,4,47000
5‐Feb,PQ,,,989,,,42,1.15,,9.6,,20,7,9,5.2,44000
6‐Feb,PQ,,,1007,,,43,1.15,,9.6,,20,2,9,4.8,45000
7‐Feb,PQ,,,1046,,,43,1.16,,9.65,,20,6,9,4.4,47000
8‐Feb,PQ,,,1090,,,42,1.16,,9.7,,20,6,9,5,45000
9‐Feb,PQ,,,,,,44,1.16,,9.7,,20,6,9,4.4,40000
10‐Feb,PQ,,,1175,,,45,1.17,,9.8,,22,4,9,5,40000
11‐Feb,PQ,,,1203,,,43,1.17,,9.8,,23,4,9,4,43000
12‐Feb,PQ,,,1228,,,43,1.16,,9.7,,,,,,
13‐Feb,PQ,,,,,,44,1.16,,9.7,,20,4,9,4,49000
16‐Feb,HQ,,,,,,42,1.2,,10,,17,7,9,4.2,91000
17‐Feb,HQ,,,1242,,,43,1.22,,10.2,,,,,,
18‐Feb,HQ,,,1256,,,46,1.22,,10.2,,20,5,9,3.6,110000
19‐Feb,HQ,,,,,,44,1.22,,10.2,,23,10,9,3.8,111000
20‐Feb,HQ,,,1293,,,44,1.22,,10.2,,23,7,9,4.4,113000
21‐Feb,HQ,,,,,,44,1.23,,10.25,,22,10,9,4,127000
