Product,Unit,Unit,Programmed,Programmed,Actual,Actual,Cost
,Size,Cost,Units,Costs,Units,Costs,Variance
SODA ASH,25kg,$22.95,3,$68.85,6,$137.70,$68.85
AUS GEL XTRA,25kg,$17.50,38,$665.00,10,$175.00,‐$490.00
PAC R,25kg,$157.50,8,"$1,260.00",34,"$5,355.00","$4,095.00"
PAC L,25kg,$157.50,28,"$4,410.00",53,"$8,347.50","$3,937.50"
COREWELL,15kg,$185.40,14,"$2,595.60",6,"$1,112.40","‐$1,483.20"
SHALEHIB ULTRA,25kg,$ 153.00,32,"$4,896.00",43,"$6,579.00","$1,683.00"
PENETROL XTRA,25L,$79.20,4,$316.80,11,$871.20,$554.40
SODIUM BICARBONATE,25kg,$24.19,3,$72.57,2,$48.38,‐$24.19
POTASSIUM CHLORIDE,25kg,$24.50,167,"$4,091.50",820,"$20,090.00","$15,998.50"
SODIUM CHLORIDE,25kg,$12.46,884,"$11,014.64",0,$0.00,"‐$11,014.64"
AUS DET XTRA,25L,$76.39,10,$763.90,47,"$3,590.33","$2,826.43"
MAGMA FIBRE,40lb,$98.50,5,$492.50,21,"$2,068.50","$1,576.00"
LIQUISPERCE,25kg,$137.54,10,"$1,375.40",0,$0.00,"‐$1,375.40"
AUSPLUG,8kg,$76.39,5,$381.95,0,$0.00,‐$381.95
Totals,,,,"$32,404.71",,"$48,375.01","$15,970.30"
